"TMDB_ID","GENRE_NAME"
7873,"Crime"
7873,"Drama"
7873,"Thriller"
7873,"Action"
2179,"Comedy"
2179,"Music"
10032,"Comedy"
1372,"Drama"
1372,"Thriller"
1372,"Action"
9986,"Comedy"
9986,"Family"
9986,"Fantasy"
2486,"Fantasy"
2486,"Action"
2486,"Adventure"
2486,"Family"
1246,"Drama"
14202,"Drama"
14202,"Romance"
11170,"Drama"
1247,"Drama"
1247,"Thriller"
1247,"History"
1125,"Drama"
1646,"Crime"
1646,"Drama"
1259,"Drama"
1259,"Romance"
9053,"Adventure"
9053,"Action"
9053,"Thriller"
1251,"Action"
1251,"Adventure"
1251,"Drama"
1251,"War"
8275,"Comedy"
7457,"Crime"
7457,"Drama"
8398,"Action"
8398,"Horror"
8398,"Crime"
1265,"Adventure"
1265,"Drama"
1265,"Family"
7516,"Action"
7516,"Comedy"
7516,"Crime"
7516,"Thriller"
9760,"Action"
9760,"Adventure"
9760,"Comedy"
9966,"Thriller"
9966,"Drama"
9966,"Horror"
1257,"Comedy"
1257,"Romance"
1248,"Crime"
1248,"Drama"
1248,"Thriller"
9757,"Comedy"
9757,"Drama"
9757,"Romance"
2062,"Family"
2062,"Fantasy"
2062,"Animation"
2266,"Drama"
2266,"Romance"
37725,"Comedy"
37725,"Fantasy"
37725,"Romance"
1250,"Thriller"
1250,"Action"
1250,"Fantasy"
1250,"Horror"
11172,"Comedy"
11172,"Music"
11172,"Romance"
3594,"Thriller"
3594,"Drama"
3594,"Mystery"
7874,"Drama"
4638,"Action"
4638,"Comedy"
1738,"Action"
1738,"Science Fiction"
1738,"Thriller"
1949,"Crime"
1949,"Drama"
1949,"Mystery"
1949,"Thriller"
11199,"Action"
11199,"Adventure"
11199,"Comedy"
8965,"Fantasy"
8965,"Animation"
8965,"Science Fiction"
8965,"Family"
8965,"Action"
1271,"Action"
1271,"Adventure"
1271,"War"
2977,"Drama"
2977,"Romance"
9963,"Fantasy"
9963,"Drama"
